id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
902671779171769624,Habitación centro de Madrid 4,50080380,Rubens,Centro,Cortes,40.41181201376952,-3.697613851025449,Private room,,7,3,2023-07-12,0.20,17,0,0,
9753808,Habitación cuqui,41563621,Marie Rose,Centro,Embajadores,40.41097,-3.69824,Private room,,1,1,2015-12-11,0.01,1,0,0,
46899002,Habitación Doble con Baño Compartido,331096767,Sandra,San Blas - Canillejas,Rejas,40.4443,-3.56595,Private room,,1,0,,,4,0,0,
1125891241820979969,SB18-04 Habitación  área exclusiva de Madrid,567327895,Santiago,Centro,Palacio,40.40824,-3.71348,Private room,,7,0,,,95,0,0,
49895335,Teste,86662970,Igor,Ciudad Lineal,San Juan Bautista,40.45356,-3.65638,Private room,200,1,0,,,1,365,0,
11960656,ÁTICO MARAVILLOSO EN EL CENTRO,25706217,Marta,Centro,Universidad,40.42845,-3.70355,Private room,,1,0,,,1,0,0,
35248706,Habitación amplia en un ambiente familiar,265373300,Naldo,Carabanchel,Buenavista,40.36458,-3.75915,Private room,,1,0,,,1,0,0,
33249881,Ambiente familiar y cálido,250360759,Enny,Ciudad Lineal,Pueblo Nuevo,40.42726,-3.64142,Entire home/apt,,1,0,,,1,0,0,
34804842,habitación con mucha luz Madrid Rio,118183640,Charlotte,Moncloa - Aravaca,Casa de Campo,40.42036,-3.75436,Private room,,3,0,,,1,0,0,
35049377,Apartament of   Final Champions League,264027240,Elena,Hortaleza,Canillas,40.46113,-3.65043,Entire home/apt,,1,0,,,1,0,0,
48991692,Habitación en Ventas con baño privado,236357316,Soraya,Ciudad Lineal,Ventas,40.4308,-3.65934,Private room,40,90,1,2021-04-04,0.02,4,89,0,
1117535871693743728,¡Excelente piso en Madrid!,160491374,David Juan,Salamanca,Lista,40.43342058373022,-3.6783308245227144,Entire home/apt,,3,10,2024-07-21,1.99,1,0,10,
707073912721841330,Malasaña Terrace apartment in Madrid,377605855,MIT House,Centro,Justicia,40.42383,-3.69884,Entire home/apt,244,1,67,2024-09-04,2.77,312,76,33,
700506328928861604,"Blueground | Chueca, in the heart of Madrid",434208714,Blueground,Centro,Justicia,40.4245547,-3.6991939,Entire home/apt,125,30,1,2024-03-26,0.18,221,164,1,
19011445,Moderno apartamento en Plaza de España / Gran Vía,132637315,Julian,Moncloa - Aravaca,Argüelles,40.42494,-3.71319,Entire home/apt,144,2,387,2024-09-06,4.37,2,264,77,VT-4764
35058668,Moderno apartamento barrio Salamanca-Madrid,148450840,Ana,Salamanca,Lista,40.43115,-3.67851,Private room,,1,0,,,2,0,0,
940316932548304011,Descanso en el centro de Madrid,18328590,Iria,Centro,Palacio,40.4097901,-3.7097167,Entire home/apt,,2,0,,,1,0,0,
45854255,HABITACION DOBLE USO INDIVIDUAL  LONG STAY,211991262,Hostal Las Fuentes,Centro,Sol,40.41729,-3.708582,Private room,,1,2,2022-01-29,0.04,13,248,0,
924515135314456764,4-Bed Band Dorm,521381901,Latroupe Prado,Arganzuela,Palos de Moguer,40.40598,-3.69174,Private room,,1,1,2023-10-22,0.09,12,348,1,
924519267880189742,6-Bed Club Dorm,521381901,Latroupe Prado,Arganzuela,Atocha,40.40732,-3.69204,Private room,,1,2,2023-10-07,0.15,12,335,1,
53730767,Viajeros por el mundo,435174282,Wilson Alexis,Latina,Aluche,40.39537,-3.76935,Private room,,1,37,2022-11-11,1.11,1,0,0,
1172267975176752715,Arganzuela Exclusive Living 4,560846948,Vivenio Residencial Socimi,Arganzuela,Imperial,40.40337,-3.718,Entire home/apt,,32,0,,,58,14,0,
1172360714705389642,TT34B-03 Habitación moderna con baño en suite,567327895,Santiago,Centro,Sol,40.41639316981629,-3.704528216651949,Private room,,30,0,,,95,9,0,
53400229,Private Room in the heart of Madrid,343428667,Klevi,Centro,Justicia,40.42673,-3.70072,Private room,46,1,22,2024-06-19,0.83,7,362,9,
1171090884750051110,Linda habitación en casa con ambiente tranquilo,418127467,Talía Lucero,Carabanchel,Opañel,40.39038,-3.72543,Private room,40,1,1,2024-06-15,0.34,2,269,1,
17281972,Spacious and Elegant Apartment in Reina Sofía,61396897,Ángel Stayaday,Centro,Embajadores,40.4089,-3.6945,Entire home/apt,131,3,321,2024-09-03,3.50,13,30,55,00000
29023627,Apartamento completo C/ Alcala -Madrid,218735767,Giovanna,Ciudad Lineal,Quintana,40.43673,-3.64174,Entire home/apt,93,2,340,2024-09-07,4.72,1,95,79,
1131157439225036550,Tu casa en Madrid,92184438,Tato,Latina,Cármenes,40.39784598310794,-3.739957170968733,Entire home/apt,127,1,39,2024-08-26,7.75,5,74,39,
11004186,"Amplia vivienda exterior caja Magica , 175€noche",2428976,Esmeralda,Usera,San Fermín,40.36745,-3.68788,Entire home/apt,175,3,26,2019-08-18,0.25,1,100,0,
